"UK3CB_BAF_6Rnd_30mm_L21A1_APDS","30mm APDS"
"uk3cb_enable_randomisation","Enable 3CB unit randomisation"
"uk3cb_force_loadout","Add 3CB unit loadout (Eden only)"
"uk3cb_enable_loadout","Enable 3CB unit loadout"
"uk3cb_enable_randomisation","Enable 3CB unit randomisation"
"uk3cb_force_loadout","Add 3CB unit loadout (Eden only)"
"uk3cb_enable_loadout","Enable 3CB unit loadout"
"uk3cb_enable_randomisation","Enable 3CB unit randomisation"
"uk3cb_force_loadout","Add 3CB unit loadout (Eden only)"
"UK3CB_CW_US_B_EARLY_SL","Section Leader"
"UK3CB_CW_US_B_EARLY_SF_SL","SF Section Leader"
"UK3CB_CW_US_B_EARLY_TL","Team Leader"
"UK3CB_CW_US_B_EARLY_SF_TL","SF Team Leader"
"UK3CB_CW_US_B_EARLY_MD","Medic"
"UK3CB_CW_US_B_EARLY_SF_MD","SF Medic"
"UK3CB_CW_US_B_EARLY_MG","Machine Gunner"
"UK3CB_CW_US_B_EARLY_SF_MG","SF Machine Gunner"
"UK3CB_CW_US_B_EARLY_MG_ASST","Machine Gunner Ammo Bearer"
"UK3CB_CW_US_B_EARLY_SF_MG_ASST","SF Machine Gunner Ammo Bearer"
"UK3CB_CW_US_B_EARLY_AT","Anti-tank (MAAWS)"
"UK3CB_CW_US_B_EARLY_SF_AT","SF Anti-tank (MAAWS)"
"UK3CB_CW_US_B_EARLY_AT_ASST","Anti-tank Assistant"
"UK3CB_CW_US_B_EARLY_SF_AT_ASST","SF Anti-tank Assistant"
"UK3CB_CW_US_B_EARLY_AA","Anti-Air (Stinger)"
"UK3CB_CW_US_B_EARLY_SF_AA","SF Anti-Air (Stinger)"
"UK3CB_CW_US_B_EARLY_AA_ASST","Anti-Air Assistant"
"UK3CB_CW_US_B_EARLY_SF_AA_ASST","SF Anti-Air Assistant"
"UK3CB_CW_US_B_EARLY_MK","Marksman"
"UK3CB_CW_US_B_EARLY_SF_MK","SF Marksman"
"UK3CB_CW_US_B_EARLY_SF_SNI","SF Sniper"
"UK3CB_CW_US_B_EARLY_SF_SPOT","SF Spotter"
"UK3CB_CW_US_B_EARLY_ENG","Engineer"
"UK3CB_CW_US_B_EARLY_SF_ENG","SF Engineer"
"UK3CB_CW_US_B_EARLY_DEM","Demolition Expert"
"UK3CB_CW_US_B_EARLY_SF_DEM","SF Demolition Expert"
"UK3CB_CW_US_B_EARLY_RIF_1","Rifleman (M16a1)"
"UK3CB_CW_US_B_EARLY_SF_RIF_1","SF Rifleman (M16 Carbine)"
"UK3CB_CW_US_B_EARLY_RIF_2","Rifleman (M16a1 20rnd)"
"UK3CB_CW_US_B_EARLY_SF_RIF_2","SF Rifleman (M16a2)"
"UK3CB_CW_US_B_EARLY_LAT","LAT Rifleman"
"UK3CB_CW_US_B_EARLY_SF_LAT","SF LAT Rifleman"
"UK3CB_CW_US_B_EARLY_GL","Grenadier"
"UK3CB_CW_US_B_EARLY_SF_GL","SF Grenadier"
"UK3CB_CW_US_B_EARLY_AR","Automatic Rifleman"
"UK3CB_CW_US_B_EARLY_SF_AR","SF Automatic Rifleman"
"UK3CB_CW_US_B_EARLY_RADIO","Radioman"
"UK3CB_CW_US_B_EARLY_JNR_OFF","Junior Officer"
"UK3CB_CW_US_B_EARLY_OFF","Officer"
"UK3CB_CW_US_B_EARLY_FIELD_OFF","Field Officer"
"UK3CB_CW_US_B_EARLY_CREW","Crewman"
"UK3CB_CW_US_B_EARLY_CREW_COMM","Crew Officer"
"UK3CB_CW_US_B_EARLY_HELI_PILOT","Helicopter Pilot"
"UK3CB_CW_US_B_EARLY_HELI_CREW","Helicopter Crew"
"UK3CB_CW_US_B_EARLY_JET_PILOT","Jet Pilot"
"UK3CB_CW_US_B_Early_STATIC_GUN_M2","Gunner (M2)"
"UK3CB_CW_US_B_Early_STATIC_TRI_M2","Asst Gunner (M2)"
"UK3CB_CW_US_B_Early_STATIC_TRI_M2_LOW","Asst Gunner (M2 Low)"
"UK3CB_CW_US_B_Early_STATIC_GUN_MK19","Gunner (MK19)"
"UK3CB_CW_US_B_Early_STATIC_TRI_MK19","Asst Gunner (MK19)"
"UK3CB_CW_US_B_Early_STATIC_GUN_TOW","Gunner (TOW)"
"UK3CB_CW_US_B_Early_STATIC_TRI_TOW","Asst Gunner (TOW)"
"UK3CB_CW_US_B_Early_STATIC_GUN_M252","Gunner (M252)"
"UK3CB_CW_US_B_Early_STATIC_TRI_M252","Asst Gunner (M252)"
"UK3CB_CW_US_B_EARLY_B_RIF","US Rifleman Backpack (Tan)"
"UK3CB_CW_US_B_EARLY_B_RIF_2","US Rifleman Small Alice Pack (Tan)"
"UK3CB_CW_US_B_EARLY_B_RIF_3","US Rifleman Small Alice Pack (Olive)"
"UK3CB_CW_US_B_EARLY_B_MEDIC","US Medic Backpack (Olive)"
"UK3CB_CW_US_B_EARLY_B_Radio","Radio Backpack (RT-1523G)"
"uk3cb_enable_loadout","Enable 3CB unit loadout"
"uk3cb_enable_randomisation","Enable 3CB unit randomisation"
"uk3cb_force_loadout","Add 3CB unit loadout (Eden only)"
"uk3cb_enable_loadout","Enable 3CB unit loadout"
"uk3cb_enable_randomisation","Enable 3CB unit randomisation"
"uk3cb_force_loadout","Add 3CB unit loadout (Eden only)"
"uk3cb_enable_loadout","Enable 3CB unit loadout"
"uk3cb_enable_randomisation","Enable 3CB unit randomisation"
"uk3cb_force_loadout","Add 3CB unit loadout (Eden only)"
"uk3cb_enable_loadout","Enable 3CB unit loadout"
"uk3cb_enable_randomisation","Enable 3CB unit randomisation"
"uk3cb_force_loadout","Add 3CB unit loadout (Eden only)"
"uk3cb_enable_loadout","Enable 3CB unit loadout"
"uk3cb_enable_randomisation","Enable 3CB unit randomisation"
"uk3cb_force_loadout","Add 3CB unit loadout (Eden only)"
"uk3cb_enable_loadout","Enable 3CB unit loadout"
"uk3cb_enable_randomisation","Enable 3CB unit randomisation"
"uk3cb_force_loadout","Add 3CB unit loadout (Eden only)"
"uk3cb_enable_loadout","Enable 3CB unit loadout"
"uk3cb_enable_randomisation","Enable 3CB unit randomisation"
"uk3cb_force_loadout","Add 3CB unit loadout (Eden only)"
"uk3cb_enable_loadout","Enable 3CB unit loadout"
"uk3cb_enable_randomisation","Enable 3CB unit randomisation"
"uk3cb_force_loadout","Add 3CB unit loadout (Eden only)"
"uk3cb_enable_loadout","Enable 3CB unit loadout"
"uk3cb_enable_randomisation","Enable 3CB unit randomisation"
"uk3cb_force_loadout","Add 3CB unit loadout (Eden only)"
"uk3cb_enable_loadout","Enable 3CB unit loadout"
"uk3cb_enable_randomisation","Enable 3CB unit randomisation"
"uk3cb_force_loadout","Add 3CB unit loadout (Eden only)"
"UK3CB_CW_US_B_LATE_SL","Section Leader"
"UK3CB_CW_US_B_LATE_SF_SL","SF Section Leader"
"UK3CB_CW_US_B_LATE_SF_BO_SL","Black Ops Section Leader"
"UK3CB_CW_US_B_LATE_TL","Team Leader"
"UK3CB_CW_US_B_LATE_SF_TL","SF Team Leader"
"UK3CB_CW_US_B_LATE_SF_BO_TL","Black Ops Team Leader"
"UK3CB_CW_US_B_LATE_MD","Medic"
"UK3CB_CW_US_B_LATE_SF_MD","SF Medic"
"UK3CB_CW_US_B_LATE_SF_BO_MD","Black Ops Medic"
"UK3CB_CW_US_B_LATE_MG","Machine Gunner"
"UK3CB_CW_US_B_LATE_SF_MG","SF Machine Gunner"
"UK3CB_CW_US_B_LATE_SF_BO_MG","Black Ops Machine Gunner"
"UK3CB_CW_US_B_LATE_MG_ASST","Machine Gunner Ammo Bearer"
"UK3CB_CW_US_B_LATE_SF_MG_ASST","SF Machine Gunner Ammo Bearer"
"UK3CB_CW_US_B_LATE_SF_BO_MG_ASST","Black Ops Machine Gunner Ammo Bearer"
"UK3CB_CW_US_B_LATE_AT","Anti-tank (MAAWS)"
"UK3CB_CW_US_B_LATE_SF_AT","SF Anti-tank (MAAWS)"
"UK3CB_CW_US_B_LATE_SF_BO_AT","Black Ops Anti-tank (MAAWS)"
"UK3CB_CW_US_B_LATE_AT_ASST","Anti-tank Assistant"
"UK3CB_CW_US_B_LATE_SF_AT_ASST","SF Anti-tank Assistant"
"UK3CB_CW_US_B_LATE_SF_BO_AT_ASST","Black Ops Anti-tank Assistant"
"UK3CB_CW_US_B_LATE_AA","Anti-Air (Stinger)"
"UK3CB_CW_US_B_LATE_SF_AA","SF Anti-Air (Stinger)"
"UK3CB_CW_US_B_LATE_SF_BO_AA","Black Ops Anti-Air (Stinger)"
"UK3CB_CW_US_B_LATE_AA_ASST","Anti-Air Assistant"
"UK3CB_CW_US_B_LATE_SF_AA_ASST","SF Anti-Air Assistant"
"UK3CB_CW_US_B_LATE_SF_BO_AA_ASST","Black Ops Anti-Air Assistant"
"UK3CB_CW_US_B_LATE_MK","Marksman"
"UK3CB_CW_US_B_LATE_SF_MK","SF Marksman"
"UK3CB_CW_US_B_LATE_SF_BO_MK","Black Ops Marksman"
"UK3CB_CW_US_B_LATE_SF_SNI","Sniper"
"UK3CB_CW_US_B_LATE_SF_SPOT","Spotter"
"UK3CB_CW_US_B_LATE_ENG","Engineer"
"UK3CB_CW_US_B_LATE_SF_ENG","SF Engineer"
"UK3CB_CW_US_B_LATE_SF_BO_ENG","Black Ops Engineer"
"UK3CB_CW_US_B_LATE_DEM","Demolition Expert"
"UK3CB_CW_US_B_LATE_SF_DEM","SF Demolition Expert"
"UK3CB_CW_US_B_LATE_SF_BO_DEM","Black Ops Demolition Expert"
"UK3CB_CW_US_B_LATE_RIF_1","Rifleman (M16a2)"
"UK3CB_CW_US_B_LATE_SF_RIF_1","SF Rifleman (M16 Carbine)"
"UK3CB_CW_US_B_LATE_SF_BO_RIF_1","Black Ops Rifleman (M16 Carbine)"
"UK3CB_CW_US_B_LATE_RIF_2","Rifleman (M16a1)"
"UK3CB_CW_US_B_LATE_SF_RIF_2","SF Rifleman (M16a2)"
"UK3CB_CW_US_B_LATE_SF_BO_RIF_2","Black Ops Rifleman (MP5 SD)"
"UK3CB_CW_US_B_LATE_LAT","LAT Rifleman"
"UK3CB_CW_US_B_LATE_SF_LAT","SF LAT Rifleman"
"UK3CB_CW_US_B_LATE_SF_BO_LAT","Black Ops LAT Rifleman"
"UK3CB_CW_US_B_LATE_GL","Grenadier"
"UK3CB_CW_US_B_LATE_SF_GL","SF Grenadier"
"UK3CB_CW_US_B_LATE_SF_BO_GL","Black Ops Grenadier"
"UK3CB_CW_US_B_LATE_AR","Automatic Rifleman"
"UK3CB_CW_US_B_LATE_SF_AR","SF Automatic Rifleman"
"UK3CB_CW_US_B_LATE_SF_BO_AR","Black Ops Automatic Rifleman"
"UK3CB_CW_US_B_LATE_RADIO","Radioman"
"UK3CB_CW_US_B_LATE_JNR_OFF","Junior Officer"
"UK3CB_CW_US_B_LATE_OFF","Officer"
"UK3CB_CW_US_B_LATE_FIELD_OFF","Field Officer"
"UK3CB_CW_US_B_LATE_CREW","Crewman"
"UK3CB_CW_US_B_LATE_CREW_COMM","Crew Officer"
"UK3CB_CW_US_B_LATE_HELI_PILOT","Helicopter Pilot"
"UK3CB_CW_US_B_LATE_HELI_CREW","Helicopter Crew"
"UK3CB_CW_US_B_LATE_JET_PILOT","Jet Pilot"
"UK3CB_CW_US_B_LATE_STATIC_GUN_M2","Gunner (M2)"
"UK3CB_CW_US_B_LATE_STATIC_TRI_M2","Asst Gunner (M2)"
"UK3CB_CW_US_B_LATE_STATIC_TRI_M2_LOW","Asst Gunner (M2 Low)"
"UK3CB_CW_US_B_LATE_STATIC_GUN_MK19","Gunner (MK19)"
"UK3CB_CW_US_B_LATE_STATIC_TRI_MK19","Asst Gunner (MK19)"
"UK3CB_CW_US_B_LATE_STATIC_GUN_TOW","Gunner (TOW)"
"UK3CB_CW_US_B_LATE_STATIC_TRI_TOW","Asst Gunner (TOW)"
"UK3CB_CW_US_B_LATE_STATIC_GUN_M252","Gunner (M252)"
"UK3CB_CW_US_B_LATE_STATIC_TRI_M252","Asst Gunner (M252)"
"UK3CB_CW_US_B_LATE_B_RIF","Kitbag (Woodland) A"
"UK3CB_CW_US_B_LATE_B_RIF_02","Kitbag (Woodland) B"
"UK3CB_CW_US_B_LATE_B_RIF_03","Kitbag (Woodland) C"
"UK3CB_CW_US_B_LATE_B_RIF_04","Kitbag (Black)"
"UK3CB_CW_US_B_LATE_B_RIF_05","Backpack (Olive)"
"UK3CB_CW_US_B_LATE_B_MEDIC","Medic Backpack (Olive)"
"UK3CB_CW_US_B_LATE_B_Radio","Radio Backpack (RT-1523G)"
"UK3CB_CW_US_B_LATE_UH60M","UH-60M (Armed)"
"UK3CB_CW_US_B_LATE_UH60M2","UH-60M (Unarmed)"
"Flag_TKA","Flag (Takistan)"
"Flag_TKA_B_Army","Flag (Takistan Army - Blufor)"
"Flag_TKA_B_Airforce","Flag (Takistan Airforce - Blufor)"
"Flag_TKA_B_Navy","Flag (Takistan Navy - Blufor)"
"Flag_TKA_O_Army","Flag (Takistan Army - Opfor)"
"Flag_TKA_O_Airforce","Flag (Takistan Airforce - Opfor)"
"Flag_TKA_O_Navy","Flag (Takistan Navy - Opfor)"
"uk3cb_enable_loadout","Enable 3CB unit loadout"
"uk3cb_enable_randomisation","Enable 3CB unit randomisation"
"uk3cb_force_loadout","Add 3CB unit loadout (Eden only)"
"UK3CB_TKA_B_SL","Section Leader"
"UK3CB_TKA_B_SF_SL","SF Section Leader"
"UK3CB_TKA_B_TL","Team Leader"
"UK3CB_TKA_B_SF_TL","SF Team Leader"
"UK3CB_TKA_B_MD","Medic"
"UK3CB_TKA_B_SF_MD","SF Medic"
"UK3CB_TKA_B_MG","Machine Gunner"
"UK3CB_TKA_B_SF_MG","SF Machine Gunner"
"UK3CB_TKA_B_MG_ASST","Machine Gunner Ammo Bearer"
"UK3CB_TKA_B_SF_MG_ASST","SF Machine Gunner Ammo Bearer"
"UK3CB_TKA_B_AT","Anti-tank (RPG-7)"
"UK3CB_TKA_B_SF_AT","SF Anti-tank (RPG-7)"
"UK3CB_TKA_B_AT_ASST","Anti-tank Assistant"
"UK3CB_TKA_B_SF_AT_ASST","SF Anti-tank Assistant"
"UK3CB_TKA_B_AA","Anti-Air (Strela)"
"UK3CB_TKA_B_SF_AA","SF Anti-Air (Strela)"
"UK3CB_TKA_B_AA_ASST","Anti-Air Assistant"
"UK3CB_TKA_B_SF_AA_ASST","SF Anti-Air Assistant"
"UK3CB_TKA_B_MK","Marksman"
"UK3CB_TKA_B_SF_MK","SF Marksman"
"UK3CB_TKA_B_SNI","Army Sniper"
"UK3CB_TKA_B_SF_SNI","SF Sniper"
"UK3CB_TKA_B_SPOT","Army Spotter"
"UK3CB_TKA_B_SF_SPOT","SF Spotter"
"UK3CB_TKA_B_ENG","Engineer"
"UK3CB_TKA_B_SF_ENG","SF Engineer"
"UK3CB_TKA_B_DEM","Demolition Expert"
"UK3CB_TKA_B_SF_DEM","SF Demolition Expert"
"UK3CB_TKA_B_RIF_1","Rifleman (M16A2)"
"UK3CB_TKA_B_SF_RIF_1","SF Rifleman (M4a1)"
"UK3CB_TKA_B_RIF_2","Rifleman (M4A1)"
"UK3CB_TKA_B_SF_RIF_2","SF Rifleman (M16A2)"
"UK3CB_TKA_B_LAT","LAT Rifleman"
"UK3CB_TKA_B_SF_LAT","SF LAT Rifleman"
"UK3CB_TKA_B_GL","Grenadier"
"UK3CB_TKA_B_SF_GL","SF Grenadier"
"UK3CB_TKA_B_AR","Automatic Rifleman"
"UK3CB_TKA_B_SF_AR","SF Automatic Rifleman"
"UK3CB_TKA_B_CREW","Crewman"
"UK3CB_TKA_B_CREW_COMM","Officer (crew)"
"UK3CB_TKA_B_NAVY_CREW","Navy Crew"
"UK3CB_TKA_B_HELI_PILOT","Helicopter Pilot"
"UK3CB_TKA_B_HELI_CREW","Helicopter Crew"
"UK3CB_TKA_B_OFF","Officer"
"UK3CB_TKA_B_JET_PILOT","Pilot"
"UK3CB_TKA_B_STATIC_GUN_NSV","Gunner (NSV)"
"UK3CB_TKA_B_STATIC_TRI_NSV","Asst Gunner (NSV)"
"UK3CB_TKA_B_STATIC_GUN_DSHKM","Gunner (DShkM)"
"UK3CB_TKA_B_STATIC_TRI_DSHKM_LOW","Asst Gunner (DShkM Low)"
"UK3CB_TKA_B_STATIC_TRI_DSHKM_HIGH","Asst Gunner (DShkM High)"
"UK3CB_TKA_B_STATIC_GUN_KORD","Gunner (Kord)"
"UK3CB_TKA_B_STATIC_TRI_KORD","Asst Gunner (Kord)"
"UK3CB_TKA_B_STATIC_GUN_METIS","Gunner (Metis)"
"UK3CB_TKA_B_STATIC_TRI_METIS","Asst Gunner (Metis)"
"UK3CB_TKA_B_STATIC_GUN_KORNET","Gunner (Kornet)"
"UK3CB_TKA_B_STATIC_TRI_KORNET","Asst Gunner (Kornet)"
"UK3CB_TKA_B_STATIC_GUN_AGS30","Gunner (AGS30)"
"UK3CB_TKA_B_STATIC_TRI_AGS30","Asst Gunner (AGS30)"
"UK3CB_TKA_B_STATIC_GUN_SPG9","Gunner (SPG-9)"
"UK3CB_TKA_B_STATIC_TRI_SPG9","Asst Gunner (SPG-9)"
"UK3CB_TKA_B_STATIC_GUN_PODNOS","Gunner (Podnos Mortar)"
"UK3CB_TKA_B_STATIC_TRI_PODNOS","Asst Gunner (Podnos Mortar)"
"UK3CB_TKA_B_B_RIF","Eagle A-III Coyote [TKA] (Tan)"
"UK3CB_TKA_B_B_NAVY_ASS","Assault pack (Black)"
"UK3CB_TKA_B_B_ASS","Assault pack (Tan)"
"UK3CB_TKA_B_B_RPG","RPG Carrier"
"UK3CB_TKA_B_B_ENG","Carryall (TAN)"
"UK3CB_TKA_B_Antonov_AN2","Antonov An-2"
"UK3CB_TKA_B_Antonov_AN2_Armed","Antonov An-2 (Armed)"
"UK3CB_TKA_B_BM21","Ural 4320 (BM-21 Grad)"
"UK3CB_TKA_B_BMP1","BMP-1"
"UK3CB_TKA_B_BMP2","BMP-2"
"UK3CB_TKA_B_BMP2K","BMP-2K"
"UK3CB_TKA_B_BTR60","BTR-60"
"UK3CB_TKA_B_Kamaz_Closed","Kamaz (Closed}"
"UK3CB_TKA_B_Kamaz_Fuel","Kamaz (Fuel)"
"UK3CB_TKA_B_Kamaz_Repair","Kamaz (Repair)"
"UK3CB_TKA_B_Kamaz_Ammo","Kamaz (Ammo)"
"UK3CB_TKA_B_Kamaz_Open","Kamaz (Open)"
"UK3CB_TKA_B_L39_AA","Aero L-39 Albatros (AA)"
"UK3CB_TKA_B_L39_CAS","Aero L-39 Albatros (CAS)"
"UK3CB_TKA_B_L39_PYLON","Aero L-39 Albatros (Dynamic Loadout)"
"UK3CB_TKA_B_Mi_24P","Mil Mi-24P"
"UK3CB_TKA_B_Mi_24V","Mil Mi-24V"
"UK3CB_TKA_B_Mi8","Mil Mi-8 (Transport)"
"UK3CB_TKA_B_Mi8AMT","Mil Mi-8 (Unarmed)"
"UK3CB_TKA_B_Mi8AMTSh","Mil Mi-8 (Rockets)"
"UK3CB_TKA_B_RHIB","Rhib"
"UK3CB_TKA_B_RHIB_Gunboat","Rhib Gunboat"
"uk3cb_enable_loadout","Enable 3CB unit loadout"
"uk3cb_enable_randomisation","Enable 3CB unit randomisation"
"uk3cb_force_loadout","Add 3CB unit loadout (Eden only)"
"UK3CB_TKA_I_SL","Section Leader"
"UK3CB_TKA_I_SF_SL","SF Section Leader"
"UK3CB_TKA_I_TL","Team Leader"
"UK3CB_TKA_I_SF_TL","SF Team Leader"
"UK3CB_TKA_I_MD","Medic"
"UK3CB_TKA_I_SF_MD","SF Medic"
"UK3CB_TKA_I_MG","Machine Gunner"
"UK3CB_TKA_I_SF_MG","SF Machine Gunner"
"UK3CB_TKA_I_MG_ASST","Machine Gunner Ammo Bearer"
"UK3CB_TKA_I_SF_MG_ASST","SF Machine Gunner Ammo Bearer"
"UK3CB_TKA_I_AT","Anti-tank (RPG-7)"
"UK3CB_TKA_I_SF_AT","SF Anti-tank (RPG-7)"
"UK3CB_TKA_I_AT_ASST","Anti-tank Assistant"
"UK3CB_TKA_I_SF_AT_ASST","SF Anti-tank Assistant"
"UK3CB_TKA_I_AA","Anti-Air (Strela)"
"UK3CB_TKA_I_SF_AA","SF Anti-Air (Strela)"
"UK3CB_TKA_I_AA_ASST","Anti-Air Assistant"
"UK3CB_TKA_I_SF_AA_ASST","SF Anti-Air Assistant"
"UK3CB_TKA_I_MK","Marksman"
"UK3CB_TKA_I_SF_MK","SF Marksman"
"UK3CB_TKA_I_SNI","Army Sniper"
"UK3CB_TKA_I_SF_SNI","SF Sniper"
"UK3CB_TKA_I_SPOT","Army Spotter"
"UK3CB_TKA_I_SF_SPOT","SF Spotter"
"UK3CB_TKA_I_ENG","Engineer"
"UK3CB_TKA_I_SF_ENG","SF Engineer"
"UK3CB_TKA_I_DEM","Demolition Expert"
"UK3CB_TKA_I_SF_DEM","SF Demolition Expert"
"UK3CB_TKA_I_RIF_1","Rifleman (FN FAL Para)"
"UK3CB_TKA_I_SF_RIF_1","SF Rifleman (AK74m)"
"UK3CB_TKA_I_RIF_2","Rifleman (FN FAL Long)"
"UK3CB_TKA_I_SF_RIF_2","SF Rifleman (AKS-74)"
"UK3CB_TKA_I_LAT","LAT Rifleman"
"UK3CB_TKA_I_SF_LAT","SF LAT Rifleman"
"UK3CB_TKA_I_GL","Grenadier"
"UK3CB_TKA_I_SF_GL","SF Grenadier"
"UK3CB_TKA_I_AR","Automatic Rifleman"
"UK3CB_TKA_I_SF_AR","SF Automatic Rifleman"
"UK3CB_TKA_I_CREW","Crewman"
"UK3CB_TKA_I_CREW_COMM","Officer (crew)"
"UK3CB_TKA_I_NAVY_CREW","Navy Crew"
"UK3CB_TKA_I_HELI_PILOT","Helicopter Pilot"
"UK3CB_TKA_I_HELI_CREW","Helicopter Crew"
"UK3CB_TKA_I_OFF","Officer"
"UK3CB_TKA_I_JET_PILOT","Pilot"
"UK3CB_TKA_I_STATIC_GUN_NSV","Gunner (NSV)"
"UK3CB_TKA_I_STATIC_TRI_NSV","Asst Gunner (NSV)"
"UK3CB_TKA_I_STATIC_GUN_DSHKM","Gunner (DShkM)"
"UK3CB_TKA_I_STATIC_TRI_DSHKM_LOW","Asst Gunner (DShkM Low)"
"UK3CB_TKA_I_STATIC_TRI_DSHKM_HIGH","Asst Gunner (DShkM High)"
"UK3CB_TKA_I_STATIC_GUN_KORD","Gunner (Kord)"
"UK3CB_TKA_I_STATIC_TRI_KORD","Asst Gunner (Kord)"
"UK3CB_TKA_I_STATIC_GUN_METIS","Gunner (Metis)"
"UK3CB_TKA_I_STATIC_TRI_METIS","Asst Gunner (Metis)"
"UK3CB_TKA_I_STATIC_GUN_KORNET","Gunner (Kornet)"
"UK3CB_TKA_I_STATIC_TRI_KORNET","Asst Gunner (Kornet)"
"UK3CB_TKA_I_STATIC_GUN_AGS30","Gunner (AGS30)"
"UK3CB_TKA_I_STATIC_TRI_AGS30","Asst Gunner (AGS30)"
"UK3CB_TKA_I_STATIC_GUN_SPG9","Gunner (SPG-9)"
"UK3CB_TKA_I_STATIC_TRI_SPG9","Asst Gunner (SPG-9)"
"UK3CB_TKA_I_STATIC_GUN_PODNOS","Gunner (Podnos Mortar)"
"UK3CB_TKA_I_STATIC_TRI_PODNOS","Asst Gunner (Podnos Mortar)"
"UK3CB_TKA_I_B_RIF","Alice Pack (Tan)"
"UK3CB_TKA_I_B_ASS","Assault pack"
"UK3CB_TKA_I_B_RPG","RPG Carrier"
"UK3CB_TKA_I_B_ENG","Alice Backpack & Bedroll (Tan)"
"UK3CB_TKA_I_B_MED","Alice Medical Backpack & Bedroll (Tan)"
"UK3CB_TKA_I_Antonov_AN2","Antonov An-2"
"UK3CB_TKA_I_Antonov_AN2_Armed","Antonov An-2 (Armed)"
"UK3CB_TKA_I_BM21","Ural 4320 (BM-21 Grad)"
"UK3CB_TKA_I_BMP1","BMP-1"
"UK3CB_TKA_I_BMP2","BMP-2"
"UK3CB_TKA_I_BMP2K","BMP-2K"
"UK3CB_TKA_I_BTR60","BTR-60"
"UK3CB_TKA_I_L39_AA","Aero L-39 Albatros (AA)"
"UK3CB_TKA_I_L39_CAS","Aero L-39 Albatros (CAS)"
"UK3CB_TKA_I_L39_PYLON","Aero L-39 Albatros (Dynamic Loadout)"
"UK3CB_TKA_I_Mi_24P","Mil Mi-24P"
"UK3CB_TKA_I_Mi_24V","Mil Mi-24V"
"UK3CB_TKA_I_Mi8","Mil Mi-8 (Transport)"
"UK3CB_TKA_I_Mi8AMT","Mil Mi-8 (Unarmed)"
"UK3CB_TKA_I_Mi8AMTSh","Mil Mi-8 (Rockets)"
"UK3CB_TKA_I_RHIB","Rhib"
"UK3CB_TKA_I_RHIB_Gunboat","Rhib Gunboat"
"UK3CB_TKA_I_UAZ_Closed","UAZ-3151 (Closed)"
"UK3CB_TKA_I_UAZ_Open","UAZ-3151 (Open)"
"uk3cb_enable_loadout","Enable 3CB unit loadout"
"uk3cb_enable_randomisation","Enable 3CB unit randomisation"
"uk3cb_force_loadout","Add 3CB unit loadout (Eden only)"
"UK3CB_TKA_O_SL","Section Leader"
"UK3CB_TKA_O_SF_SL","SF Section Leader"
"UK3CB_TKA_O_TL","Team Leader"
"UK3CB_TKA_O_SF_TL","SF Team Leader"
"UK3CB_TKA_O_MD","Medic"
"UK3CB_TKA_O_SF_MD","SF Medic"
"UK3CB_TKA_O_MG","Machine Gunner"
"UK3CB_TKA_O_SF_MG","SF Machine Gunner"
"UK3CB_TKA_O_MG_ASST","Machine Gunner Ammo Bearer"
"UK3CB_TKA_O_SF_MG_ASST","SF Machine Gunner Ammo Bearer"
"UK3CB_TKA_O_AT","Anti-tank (RPG-7)"
"UK3CB_TKA_O_SF_AT","SF Anti-tank (RPG-7)"
"UK3CB_TKA_O_AT_ASST","Anti-tank Assistant"
"UK3CB_TKA_O_SF_AT_ASST","SF Anti-tank Assistant"
"UK3CB_TKA_O_AA","Anti-Air (Strela)"
"UK3CB_TKA_O_SF_AA","SF Anti-Air (Strela)"
"UK3CB_TKA_O_AA_ASST","Anti-Air Assistant"
"UK3CB_TKA_O_SF_AA_ASST","SF Anti-Air Assistant"
"UK3CB_TKA_O_MK","Marksman"
"UK3CB_TKA_O_SF_MK","SF Marksman"
"UK3CB_TKA_O_SNI","Army Sniper"
"UK3CB_TKA_O_SF_SNI","SF Sniper"
"UK3CB_TKA_O_SPOT","Army Spotter"
"UK3CB_TKA_O_SF_SPOT","SF Spotter"
"UK3CB_TKA_O_ENG","Engineer"
"UK3CB_TKA_O_SF_ENG","SF Engineer"
"UK3CB_TKA_O_DEM","Demolition Expert"
"UK3CB_TKA_O_SF_DEM","SF Demolition Expert"
"UK3CB_TKA_O_RIF_1","Rifleman (AK74m)"
"UK3CB_TKA_O_SF_RIF_1","SF Rifleman (AK74m)"
"UK3CB_TKA_O_RIF_2","Rifleman (AKS-74)"
"UK3CB_TKA_O_SF_RIF_2","SF Rifleman (AKS-74)"
"UK3CB_TKA_O_LAT","LAT Rifleman"
"UK3CB_TKA_O_SF_LAT","SF LAT Rifleman"
"UK3CB_TKA_O_GL","Grenadier"
"UK3CB_TKA_O_SF_GL","SF Grenadier"
"UK3CB_TKA_O_AR","Automatic Rifleman"
"UK3CB_TKA_O_SF_AR","SF Automatic Rifleman"
"UK3CB_TKA_O_CREW","Crewman"
"UK3CB_TKA_O_CREW_COMM","Officer (Crew)"
"UK3CB_TKA_O_NAVY_CREW","Navy Crew"
"UK3CB_TKA_O_HELI_PILOT","Helicopter Pilot"
"UK3CB_TKA_O_HELI_CREW","Helicopter Crew"
"UK3CB_TKA_O_OFF","Officer"
"UK3CB_TKA_O_JET_PILOT","Pilot"
